AvLE,Continent,Year
62.833333333333336,Asia,1980
63.111111111111114,Asia,1981
63.05555555555556,Asia,1982
64.05555555555556,Asia,1983
64.52777777777777,Asia,1984
64.97222222222223,Asia,1985
65.41666666666667,Asia,1986
65.63888888888889,Asia,1987
65.66666666666667,Asia,1988
66.88888888888889,Asia,1989
67.08333333333333,Asia,1990
67.30555555555556,Asia,1991
67.63888888888889,Asia,1992
67.77777777777777,Asia,1993
67.97222222222223,Asia,1994
68.0,Asia,1995
68.30555555555556,Asia,1996
68.61111111111111,Asia,1997
68.80555555555556,Asia,1998
69.19444444444444,Asia,1999
69.47222222222223,Asia,2000
69.77777777777777,Asia,2001
70.02777777777777,Asia,2002
70.36111111111111,Asia,2003
70.36111111111111,Asia,2004
55.0,Africa,1980
55.1875,Africa,1981
55.583333333333336,Africa,1982
55.708333333333336,Africa,1983
55.958333333333336,Africa,1984
56.145833333333336,Africa,1985
56.604166666666664,Africa,1986
56.729166666666664,Africa,1987
57.041666666666664,Africa,1988
57.208333333333336,Africa,1989
57.166666666666664,Africa,1990
57.1875,Africa,1991
57.25,Africa,1992
57.125,Africa,1993
56.354166666666664,Africa,1994
56.916666666666664,Africa,1995
56.791666666666664,Africa,1996
56.791666666666664,Africa,1997
56.708333333333336,Africa,1998
56.5625,Africa,1999
56.708333333333336,Africa,2000
57.0,Africa,2001
57.145833333333336,Africa,2002
57.4375,Africa,2003
57.8125,Africa,2004
63.9,Ocenia,1980
64.0,Ocenia,1981
64.2,Ocenia,1982
64.3,Ocenia,1983
64.5,Ocenia,1984
64.5,Ocenia,1985
64.6,Ocenia,1986
64.7,Ocenia,1987
64.8,Ocenia,1988
65.0,Ocenia,1989
65.2,Ocenia,1990
65.4,Ocenia,1991
65.5,Ocenia,1992
65.4,Ocenia,1993
65.5,Ocenia,1994
65.8,Ocenia,1995
65.9,Ocenia,1996
65.9,Ocenia,1997
65.9,Ocenia,1998
66.0,Ocenia,1999
66.1,Ocenia,2000
66.2,Ocenia,2001
66.4,Ocenia,2002
66.4,Ocenia,2003
66.6,Ocenia,2004
71.675,Europe,1980
71.85,Europe,1981
72.225,Europe,1982
72.25,Europe,1983
72.325,Europe,1984
72.425,Europe,1985
72.875,Europe,1986
73.025,Europe,1987
72.675,Europe,1988
73.125,Europe,1989
73.325,Europe,1990
73.2,Europe,1991
73.1,Europe,1992
73.125,Europe,1993
73.075,Europe,1994
73.2,Europe,1995
73.75,Europe,1996
74.1,Europe,1997
74.25,Europe,1998
74.425,Europe,1999
74.575,Europe,2000
75.075,Europe,2001
75.25,Europe,2002
75.325,Europe,2003
75.575,Europe,2004
68.36842105263158,North America,1980
68.42105263157895,North America,1981
68.63157894736842,North America,1982
68.84210526315789,North America,1983
69.10526315789474,North America,1984
69.42105263157895,North America,1985
69.52631578947368,North America,1986
69.89473684210526,North America,1987
70.36842105263158,North America,1988
70.47368421052632,North America,1989
70.84210526315789,North America,1990
70.89473684210526,North America,1991
71.10526315789474,North America,1992
71.10526315789474,North America,1993
71.15789473684211,North America,1994
71.36842105263158,North America,1995
71.63157894736842,North America,1996
71.63157894736842,North America,1997
71.52631578947368,North America,1998
72.10526315789474,North America,1999
72.15789473684211,North America,2000
72.42105263157895,North America,2001
72.73684210526316,North America,2002
72.89473684210526,North America,2003
73.0,North America,2004
66.75,South America,1980
67.08333333333333,South America,1981
67.41666666666667,South America,1982
67.75,South America,1983
67.91666666666667,South America,1984
68.16666666666667,South America,1985
68.66666666666667,South America,1986
68.83333333333333,South America,1987
69.25,South America,1988
69.41666666666667,South America,1989
69.75,South America,1990
69.83333333333333,South America,1991
70.25,South America,1992
70.33333333333333,South America,1993
70.58333333333333,South America,1994
70.91666666666667,South America,1995
71.16666666666667,South America,1996
71.41666666666667,South America,1997
71.75,South America,1998
71.66666666666667,South America,1999
72.16666666666667,South America,2000
72.33333333333333,South America,2001
72.5,South America,2002
72.83333333333333,South America,2003
72.83333333333333,South America,2004
