Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1980,Afghanistan,13211412.0,,20.44348,21.48678,20.965130000000002,,43.3,Asia
1981,Afghanistan,12996923.0,,20.47765,21.46552,20.971585,,44.1,Asia
1982,Afghanistan,12667001.0,,20.52292,21.45145,20.987185,,43.8,Asia
1983,Afghanistan,12279095.0,,20.56493,21.43822,21.001575000000003,,42.0,Asia
1984,Afghanistan,11912510.0,,20.60867,21.42734,21.018005000000002,,39.8,Asia
1985,Afghanistan,11630498.0,,20.64796,21.41222,21.03009,,41.6,Asia
1986,Afghanistan,11438949.0,,20.68983,21.40132,21.045575,,42.6,Asia
1987,Afghanistan,11337932.0,,20.70902,21.37679,21.042904999999998,,44.7,Asia
1988,Afghanistan,11375768.0,,20.71512,21.34018,21.02765,,47.0,Asia
1989,Afghanistan,11608351.0,,20.71421,21.29845,21.00633,,50.8,Asia
1990,Afghanistan,12067570.0,,20.70504,21.24818,20.97661,,51.6,Asia
1991,Afghanistan,12789374.0,,20.70117,21.20269,20.95193,,51.3,Asia
1992,Afghanistan,13745630.0,,20.67746,21.14238,20.90992,,51.4,Asia
1993,Afghanistan,14824371.0,,20.63639,21.06376,20.850074999999997,,51.4,Asia
1994,Afghanistan,15869967.0,,20.59074,20.97987,20.785305,,50.7,Asia
1995,Afghanistan,16772522.0,,20.5675,20.91132,20.73941,,51.1,Asia
1996,Afghanistan,17481800.0,,20.55575,20.85155,20.70365,,51.4,Asia
1997,Afghanistan,18034130.0,,20.56759,20.81307,20.69033,,51.1,Asia
1998,Afghanistan,18511480.0,,20.59306,20.78591,20.689485,,50.1,Asia
1999,Afghanistan,19038420.0,,20.61717,20.75469,20.68593,,51.5,Asia
2000,Afghanistan,19701940.0,,20.6185,20.69521,20.656855,,51.6,Asia
2001,Afghanistan,20531160.0,,20.61353,20.62643,20.619979999999998,,51.7,Asia
2002,Afghanistan,21487079.0,,20.65274,20.59848,20.62561,490.0,52.4,Asia
2003,Afghanistan,22507368.0,,20.70828,20.58706,20.647669999999998,590.0,53.0,Asia
