Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1980,Afghanistan,0.07098468821895043,,0.6129444177434593,0.7067010828059415,0.657654776515612,,0.524390243902439,Asia
1981,Afghanistan,0.06983224253098047,,0.6139689160556006,0.7060018405267143,0.6578572632916257,,0.5365853658536586,Asia
1982,Afghanistan,0.06805957733012438,,0.6153262189116332,0.7055390776448363,0.6583466194040678,,0.524390243902439,Asia
1983,Afghanistan,0.06597536509995093,,0.6165857791718923,0.7051039423976971,0.6587980190488142,,0.5121951219512195,Asia
1984,Afghanistan,0.06400571023408619,,0.6178972089691723,0.7047460987477445,0.6593134114159567,,0.47560975609756095,Asia
1985,Afghanistan,0.06249046463475111,,0.6190752171249825,0.7042488013224428,0.6596925055581915,,0.5,Asia
1986,Afghanistan,0.061461275170093456,,0.6203305798504538,0.703890299871663,0.6601782542377533,,0.5121951219512195,Asia
1987,Afghanistan,0.06091851257592005,,0.6209059419402984,0.7030835071572019,0.6600944990569699,,0.5365853658536586,Asia
1988,Afghanistan,0.061121804749644716,,0.621088834527482,0.701879402743161,0.6596159652431685,,0.573170731707317,Asia
1989,Afghanistan,0.06237146918672594,,0.6210615505513613,0.7005069013173777,0.6589471785561641,,0.6097560975609756,Asia
1990,Afghanistan,0.0648388449327263,,0.620786612022759,0.6988535189384147,0.6580148924239989,,0.6219512195121951,Asia
1991,Afghanistan,0.06871708534300126,,0.6206705801682671,0.697357350957133,0.6572407059589302,,0.6219512195121951,Asia
1992,Afghanistan,0.07385503229503793,,0.6199596976695586,0.6953737525629564,0.6559228950433088,,0.6219512195121951,Asia
1993,Afghanistan,0.0796510890340147,,0.6187283208571606,0.6927879375115525,0.6540456183414435,,0.6219512195121951,Asia
1994,Afghanistan,0.08526905826114817,,0.6173596246924181,0.6900287919422029,0.6520138494053618,,0.6097560975609756,Asia
1995,Afghanistan,0.09011847066880412,,0.6166628339176401,0.6877741796072534,0.6505741699963533,,0.6219512195121951,Asia
1996,Afghanistan,0.09392940909768369,,0.6163105408193768,0.685808341835409,0.6494524152155245,,0.6219512195121951,Asia
1997,Afghanistan,0.0968970686365712,,0.6166655323328608,0.6845427330440325,0.6490345803810547,,0.6219512195121951,Asia
1998,Afghanistan,0.09946186193204302,,0.6174291838403306,0.6836494395208053,0.6490080735916308,,0.6097560975609756,Asia
1999,Afghanistan,0.10229310143998462,,0.6181520592955757,0.6826226124296728,0.6488965568621607,,0.6219512195121951,Asia
2000,Afghanistan,0.10585818292612993,,0.61819193587606,0.6806663127698216,0.647984503723106,,0.6219512195121951,Asia
2001,Afghanistan,0.11031356764692421,,0.6180429233910925,0.6784041357253602,0.6468277725278301,,0.6219512195121951,Asia
2002,Afghanistan,0.1154497039037884,,0.6192185329555951,0.6774848590694618,0.6470043798940514,0.007103508263264714,0.6341463414634146,Asia
2003,Afghanistan,0.12093169905754068,,0.6208837549707056,0.677109254797177,0.6476963796274149,0.00855320382719629,0.6463414634146342,Asia
2004,Afghanistan,0.1262642876811428,,0.6227123810186277,0.6767977861055362,0.6485044445925757,0.009423021165555233,0.6463414634146342,Asia
1980,Albania,0.014406283019833136,0.24640287769784172,0.754784814878222,0.8296621469171835,0.7904920616871023,,0.8780487804878049,Europe
1981,Albania,0.014696875416590855,0.24640287769784172,0.7552828223984054,0.8301383947160175,0.7909796925055582,,0.8780487804878049,Europe
1982,Albania,0.014981568278335635,0.24640287769784172,0.7555658561726698,0.8306827249004582,0.7913873324210189,,0.8780487804878049,Europe
1983,Albania,0.015273348104271734,0.24640287769784172,0.7561277261864107,0.8311892315373397,0.7919228009363641,,0.8780487804878049,Europe
1984,Albania,0.015590192894538779,0.24640287769784172,0.756263546419188,0.8314276843371702,0.7921075642377926,0.03696723688025515,0.8780487804878049,Europe
1985,Albania,0.015940559723918526,0.24640287769784172,0.7559331404666039,0.8316802798547839,0.7920551780385761,0.037837054218614094,0.8902439024390244,Europe
1986,Albania,0.016339256532753112,0.2608971646212442,0.7558377964621378,0.8319374799781872,0.792127954075811,0.03986662800811829,0.8902439024390244,Europe
1987,Albania,0.016770884352602572,0.2608971646212442,0.7552318523331247,0.8321894176949738,0.7919311137164793,0.03957668889533198,0.8902439024390244,Europe
1988,Albania,0.017177769587083537,0.2608971646212442,0.754646296230224,0.8322660514913331,0.7916613404750048,0.039431719338938825,0.8902439024390244,Europe
1989,Albania,0.017481853543420037,0.2608971646212442,0.754168077088326,0.8327574287091908,0.7916454991393136,0.044070745143519864,0.8902439024390244,Europe
1990,Albania,0.017631190224795014,0.27539145154464667,0.7537204399855965,0.8328932645799908,0.7914761066388528,0.040881414902870394,0.8902439024390244,Europe
1991,Albania,0.01759887173380881,0.20292001692763434,0.7509599612147786,0.8316089084650415,0.7894195562073333,0.0292838503914178,0.8902439024390244,Europe
1992,Albania,0.01741175761101672,0.27539145154464667,0.7485448795922154,0.8298410687421598,0.7873131290951225,0.0272542766019136,0.8902439024390244,Europe
1993,Albania,0.017137789222756303,0.42028142192128654,0.7476283178889038,0.8292210914626004,0.7865380015606068,0.031893302406494635,0.8902439024390244,Europe
1994,Albania,0.016874572172893794,0.5362357173085062,0.7476295171845575,0.8295246665443158,0.786683396790169,0.03624238909828936,0.9024390243902439,Europe
1995,Albania,0.016692390448227273,0.2898857384680491,0.7476726918280893,0.8307610031988854,0.7872955624654451,0.04320092780516092,0.9024390243902439,Europe
1996,Albania,0.016613445213304538,0.36230427422767664,0.7485532746617911,0.8324788500589061,0.7885754169133706,0.048709770948100896,0.9024390243902439,Europe
